Quantity,Part Number,Manufacturer Part Number
1,2N7000-G-ND,2N7000-G
2,WM4300-ND,22-05-3021
1,952-2262-ND,M20-9990246
1,2057-PH1-06-UA-ND,PH1-06-UA
1,1N4004RLGOSCT-ND,1N4004RLG
1,ATTINY85-20PU-ND,ATTINY85-20PU
4,10.0KXBK-ND,MFR-25FBF52-10K
3,SW400-ND,B3F-1000
